HT_link,AT_Link,Season,HT_Game_Penalty_Cards,AT_Game_Penalty_Cards
fc-ingolstadt-04,energie-cottbus,2013,1,0
fc-erzgebirge-aue,st-pauli,2013,0,2
hertha-bsc,paderborn,2013,2,3
1860-munchen,ssv-jahn-regensburg,2013,1,2
bochum,sg-dynamo-dresden,2013,1,1
msv-duisburg,vfr-aalen,2013,1,0
sv-sandhausen,fsv-frankfurt,2013,1,0
eintracht-brau-hellip,1-fc-koln,2013,1,0
kaiserslautern,1-fc-union-berlin,2013,0,1
1-fc-koln,sv-sandhausen,2013,0,1
vfr-aalen,kaiserslautern,2013,0,2
energie-cottbus,fc-erzgebirge-aue,2013,2,2
paderborn,bochum,2013,0,3
st-pauli,fc-ingolstadt-04,2013,0,2
1-fc-union-berlin,eintracht-brau-hellip,2013,1,2
ssv-jahn-regensburg,msv-duisburg,2013,1,4
fsv-frankfurt,hertha-bsc,2013,1,2
sg-dynamo-dresden,1860-munchen,2013,1,2
hertha-bsc,ssv-jahn-regensburg,2013,3,3
eintracht-brau-hellip,paderborn,2013,3,3
sv-sandhausen,1-fc-union-berlin,2013,0,2
msv-duisburg,sg-dynamo-dresden,2013,0,2
energie-cottbus,st-pauli,2013,2,2
kaiserslautern,1860-munchen,2013,2,1
bochum,vfr-aalen,2013,1,4
fc-ingolstadt-04,fsv-frankfurt,2013,3,1
fc-erzgebirge-aue,1-fc-koln,2013,2,2
1860-munchen,msv-duisburg,2013,1,5
sg-dynamo-dresden,kaiserslautern,2013,1,3
1-fc-koln,energie-cottbus,2013,1,3
st-pauli,sv-sandhausen,2013,0,2
vfr-aalen,eintracht-brau-hellip,2013,2,1
paderborn,fc-ingolstadt-04,2013,3,3
fsv-frankfurt,fc-erzgebirge-aue,2013,1,0
ssv-jahn-regensburg,bochum,2013,3,4
1-fc-union-berlin,hertha-bsc,2013,2,4
bochum,1860-munchen,2013,1,2
fc-ingolstadt-04,1-fc-union-berlin,2013,0,3
energie-cottbus,fsv-frankfurt,2013,2,1
eintracht-brau-hellip,ssv-jahn-regensburg,2013,0,4
sv-sandhausen,sg-dynamo-dresden,2013,2,1
hertha-bsc,vfr-aalen,2013,2,2
kaiserslautern,msv-duisburg,2013,2,2
fc-erzgebirge-aue,paderborn,2013,1,3
1-fc-koln,st-pauli,2013,1,0
1-fc-union-berlin,1-fc-koln,2013,1,0
fsv-frankfurt,st-pauli,2013,1,1
vfr-aalen,fc-erzgebirge-aue,2013,0,3
kaiserslautern,hertha-bsc,2013,4,3
paderborn,sv-sandhausen,2013,1,2
ssv-jahn-regensburg,energie-cottbus,2013,0,1
1860-munchen,eintracht-brau-hellip,2013,5,1
sg-dynamo-dresden,fc-ingolstadt-04,2013,1,2
msv-duisburg,bochum,2013,2,1
1-fc-koln,fsv-frankfurt,2013,2,1
st-pauli,vfr-aalen,2013,2,2
energie-cottbus,paderborn,2013,1,1
sv-sandhausen,ssv-jahn-regensburg,2013,2,3
hertha-bsc,sg-dynamo-dresden,2013,2,1
eintracht-brau-hellip,msv-duisburg,2013,1,1
fc-ingolstadt-04,1860-munchen,2013,3,0
fc-erzgebirge-aue,1-fc-union-berlin,2013,6,3
bochum,kaiserslautern,2013,2,3
paderborn,1-fc-koln,2013,1,3
vfr-aalen,fsv-frankfurt,2013,1,3
ssv-jahn-regensburg,st-pauli,2013,1,4
1860-munchen,sv-sandhausen,2013,1,0
1-fc-union-berlin,energie-cottbus,2013,5,3
kaiserslautern,eintracht-brau-hellip,2013,2,1
sg-dynamo-dresden,fc-erzgebirge-aue,2013,3,4
bochum,fc-ingolstadt-04,2013,3,4
msv-duisburg,hertha-bsc,2013,3,3
hertha-bsc,1860-munchen,2013,3,3
st-pauli,1-fc-union-berlin,2013,2,1
fsv-frankfurt,paderborn,2013,2,5
eintracht-brau-hellip,bochum,2013,1,5
energie-cottbus,msv-duisburg,2013,2,4
fc-ingolstadt-04,kaiserslautern,2013,3,1
fc-erzgebirge-aue,ssv-jahn-regensburg,2013,4,2
sv-sandhausen,vfr-aalen,2013,2,1
1-fc-koln,sg-dynamo-dresden,2013,3,2
kaiserslautern,sv-sandhausen,2013,3,5
msv-duisburg,fc-ingolstadt-04,2013,2,3
bochum,hertha-bsc,2013,2,2
sg-dynamo-dresden,eintracht-brau-hellip,2013,2,2
ssv-jahn-regensburg,1-fc-koln,2013,1,0
paderborn,st-pauli,2013,2,2
1-fc-union-berlin,fsv-frankfurt,2013,4,1
vfr-aalen,energie-cottbus,2013,3,1
1860-munchen,fc-erzgebirge-aue,2013,2,4
1-fc-koln,kaiserslautern,2013,2,4
fc-ingolstadt-04,vfr-aalen,2013,3,1
energie-cottbus,1860-munchen,2013,1,1
eintracht-brau-hellip,hertha-bsc,2013,1,2
fc-erzgebirge-aue,bochum,2013,1,1
sv-sandhausen,msv-duisburg,2013,2,1
st-pauli,sg-dynamo-dresden,2013,1,2
1-fc-union-berlin,paderborn,2013,1,3
fsv-frankfurt,ssv-jahn-regensburg,2013,2,1
hertha-bsc,fc-ingolstadt-04,2013,0,0
eintracht-brau-hellip,sv-sandhausen,2013,0,1
ssv-jahn-regensburg,paderborn,2013,4,2
1860-munchen,st-pauli,2013,3,2
msv-duisburg,fsv-frankfurt,2013,2,2
sg-dynamo-dresden,1-fc-union-berlin,2013,3,1
bochum,energie-cottbus,2013,3,2
vfr-aalen,1-fc-koln,2013,2,1
kaiserslautern,fc-erzgebirge-aue,2013,2,4
1-fc-koln,msv-duisburg,2013,3,3
fc-erzgebirge-aue,eintracht-brau-hellip,2013,2,1
sv-sandhausen,hertha-bsc,2013,1,0
paderborn,kaiserslautern,2013,3,2
1-fc-union-berlin,vfr-aalen,2013,2,1
fc-ingolstadt-04,ssv-jahn-regensburg,2013,3,3
fsv-frankfurt,1860-munchen,2013,2,0
energie-cottbus,sg-dynamo-dresden,2013,1,4
st-pauli,bochum,2013,2,2
kaiserslautern,energie-cottbus,2013,2,5
sg-dynamo-dresden,fsv-frankfurt,2013,3,3
1860-munchen,1-fc-koln,2013,1,1
eintracht-brau-hellip,fc-ingolstadt-04,2013,1,2
vfr-aalen,paderborn,2013,1,5
msv-duisburg,fc-erzgebirge-aue,2013,1,3
bochum,sv-sandhausen,2013,4,1
ssv-jahn-regensburg,1-fc-union-berlin,2013,1,3
hertha-bsc,st-pauli,2013,2,1
1-fc-koln,bochum,2013,1,4
paderborn,sg-dynamo-dresden,2013,2,3
ssv-jahn-regensburg,vfr-aalen,2013,0,0
1-fc-union-berlin,1860-munchen,2013,4,0
fsv-frankfurt,kaiserslautern,2013,1,2
energie-cottbus,eintracht-brau-hellip,2013,4,5
st-pauli,msv-duisburg,2013,3,2
fc-ingolstadt-04,sv-sandhausen,2013,0,1
fc-erzgebirge-aue,hertha-bsc,2013,0,3
kaiserslautern,ssv-jahn-regensburg,2013,3,2
1860-munchen,paderborn,2013,3,5
sg-dynamo-dresden,vfr-aalen,2013,1,2
bochum,fsv-frankfurt,2013,1,1
eintracht-brau-hellip,st-pauli,2013,1,3
msv-duisburg,1-fc-union-berlin,2013,0,2
fc-ingolstadt-04,fc-erzgebirge-aue,2013,3,2
sv-sandhausen,energie-cottbus,2013,2,2
hertha-bsc,1-fc-koln,2013,0,4
vfr-aalen,1860-munchen,2013,1,1
ssv-jahn-regensburg,sg-dynamo-dresden,2013,1,5
st-pauli,kaiserslautern,2013,2,3
1-fc-union-berlin,bochum,2013,1,3
fc-erzgebirge-aue,sv-sandhausen,2013,3,4
1-fc-koln,fc-ingolstadt-04,2013,0,2
paderborn,msv-duisburg,2013,3,2
fsv-frankfurt,eintracht-brau-hellip,2013,1,3
energie-cottbus,hertha-bsc,2013,2,2
1-fc-union-berlin,kaiserslautern,2013,2,3
fsv-frankfurt,sv-sandhausen,2013,1,0
vfr-aalen,msv-duisburg,2013,1,4
paderborn,hertha-bsc,2013,5,3
sg-dynamo-dresden,bochum,2013,3,6
st-pauli,fc-erzgebirge-aue,2013,1,4
energie-cottbus,fc-ingolstadt-04,2013,0,3
ssv-jahn-regensburg,1860-munchen,2013,2,2
1-fc-koln,eintracht-brau-hellip,2013,2,2
kaiserslautern,vfr-aalen,2013,2,1
fc-erzgebirge-aue,energie-cottbus,2013,1,4
sv-sandhausen,1-fc-koln,2013,1,3
hertha-bsc,fsv-frankfurt,2013,0,3
fc-ingolstadt-04,st-pauli,2013,2,2
1860-munchen,sg-dynamo-dresden,2013,1,3
msv-duisburg,ssv-jahn-regensburg,2013,5,3
bochum,paderborn,2013,0,1
eintracht-brau-hellip,1-fc-union-berlin,2013,0,3
1-fc-union-berlin,sv-sandhausen,2013,1,1
sg-dynamo-dresden,msv-duisburg,2013,2,2
vfr-aalen,bochum,2013,1,1
1-fc-koln,fc-erzgebirge-aue,2013,2,3
paderborn,eintracht-brau-hellip,2013,4,3
st-pauli,energie-cottbus,2013,1,2
fsv-frankfurt,fc-ingolstadt-04,2013,0,0
ssv-jahn-regensburg,hertha-bsc,2013,3,2
1860-munchen,kaiserslautern,2013,0,1
eintracht-brau-hellip,vfr-aalen,2013,2,3
fc-erzgebirge-aue,fsv-frankfurt,2013,0,4
kaiserslautern,sg-dynamo-dresden,2013,1,1
msv-duisburg,1860-munchen,2013,2,2
energie-cottbus,1-fc-koln,2013,2,4
bochum,ssv-jahn-regensburg,2013,2,3
fc-ingolstadt-04,paderborn,2013,4,3
sv-sandhausen,st-pauli,2013,2,1
hertha-bsc,1-fc-union-berlin,2013,3,2
paderborn,fc-erzgebirge-aue,2013,1,6
1860-munchen,bochum,2013,2,2
ssv-jahn-regensburg,eintracht-brau-hellip,2013,1,4
1-fc-union-berlin,fc-ingolstadt-04,2013,4,1
vfr-aalen,hertha-bsc,2013,3,2
sg-dynamo-dresden,sv-sandhausen,2013,0,2
msv-duisburg,kaiserslautern,2013,5,2
fsv-frankfurt,energie-cottbus,2013,1,2
st-pauli,1-fc-koln,2013,5,3
st-pauli,fsv-frankfurt,2013,0,2
bochum,msv-duisburg,2013,5,4
fc-erzgebirge-aue,vfr-aalen,2013,1,2
1-fc-koln,1-fc-union-berlin,2013,3,3
fc-ingolstadt-04,sg-dynamo-dresden,2013,3,1
eintracht-brau-hellip,1860-munchen,2013,1,1
energie-cottbus,ssv-jahn-regensburg,2013,3,2
sv-sandhausen,paderborn,2013,3,3
hertha-bsc,kaiserslautern,2013,2,3
paderborn,energie-cottbus,2013,2,0
1-fc-union-berlin,fc-erzgebirge-aue,2013,0,2
ssv-jahn-regensburg,sv-sandhausen,2013,3,3
kaiserslautern,bochum,2013,3,1
sg-dynamo-dresden,hertha-bsc,2013,2,2
1860-munchen,fc-ingolstadt-04,2013,0,1
fsv-frankfurt,1-fc-koln,2013,1,2
vfr-aalen,st-pauli,2013,3,2
msv-duisburg,eintracht-brau-hellip,2013,6,1
st-pauli,ssv-jahn-regensburg,2013,4,1
fsv-frankfurt,vfr-aalen,2013,1,3
sv-sandhausen,1860-munchen,2013,1,3
1-fc-koln,paderborn,2013,1,2
energie-cottbus,1-fc-union-berlin,2013,2,0
hertha-bsc,msv-duisburg,2013,1,3
fc-ingolstadt-04,bochum,2013,0,2
fc-erzgebirge-aue,sg-dynamo-dresden,2013,3,3
eintracht-brau-hellip,kaiserslautern,2013,1,2
paderborn,fsv-frankfurt,2013,1,3
1-fc-union-berlin,st-pauli,2013,0,1
msv-duisburg,energie-cottbus,2013,4,2
1860-munchen,hertha-bsc,2013,2,2
bochum,eintracht-brau-hellip,2013,3,1
kaiserslautern,fc-ingolstadt-04,2013,1,4
vfr-aalen,sv-sandhausen,2013,1,1
ssv-jahn-regensburg,fc-erzgebirge-aue,2013,2,3
sg-dynamo-dresden,1-fc-koln,2013,2,0
energie-cottbus,vfr-aalen,2013,2,2
fc-erzgebirge-aue,1860-munchen,2013,3,2
eintracht-brau-hellip,sg-dynamo-dresden,2013,2,1
hertha-bsc,bochum,2013,0,2
fc-ingolstadt-04,msv-duisburg,2013,1,3
1-fc-koln,ssv-jahn-regensburg,2013,3,1
fsv-frankfurt,1-fc-union-berlin,2013,0,1
sv-sandhausen,kaiserslautern,2013,2,1
st-pauli,paderborn,2013,4,1
kaiserslautern,1-fc-koln,2013,0,3
bochum,fc-erzgebirge-aue,2013,2,1
vfr-aalen,fc-ingolstadt-04,2013,1,2
sg-dynamo-dresden,st-pauli,2013,4,1
ssv-jahn-regensburg,fsv-frankfurt,2013,2,2
paderborn,1-fc-union-berlin,2013,0,3
1860-munchen,energie-cottbus,2013,1,2
msv-duisburg,sv-sandhausen,2013,0,2
hertha-bsc,eintracht-brau-hellip,2013,0,3
1-fc-union-berlin,sg-dynamo-dresden,2013,2,0
fc-ingolstadt-04,hertha-bsc,2013,2,2
sv-sandhausen,eintracht-brau-hellip,2013,3,0
st-pauli,1860-munchen,2013,1,2
fsv-frankfurt,msv-duisburg,2013,2,3
1-fc-koln,vfr-aalen,2013,5,4
paderborn,ssv-jahn-regensburg,2013,1,0
energie-cottbus,bochum,2013,1,1
fc-erzgebirge-aue,kaiserslautern,2013,3,2
bochum,st-pauli,2013,0,1
vfr-aalen,1-fc-union-berlin,2013,1,4
ssv-jahn-regensburg,fc-ingolstadt-04,2013,2,2
kaiserslautern,paderborn,2013,3,2
1860-munchen,fsv-frankfurt,2013,2,2
hertha-bsc,sv-sandhausen,2013,0,2
eintracht-brau-hellip,fc-erzgebirge-aue,2013,2,3
sg-dynamo-dresden,energie-cottbus,2013,2,3
msv-duisburg,1-fc-koln,2013,2,1
1-fc-union-berlin,ssv-jahn-regensburg,2013,2,2
fc-ingolstadt-04,eintracht-brau-hellip,2013,3,1
sv-sandhausen,bochum,2013,1,0
fsv-frankfurt,sg-dynamo-dresden,2013,0,3
fc-erzgebirge-aue,msv-duisburg,2013,2,5
1-fc-koln,1860-munchen,2013,0,0
st-pauli,hertha-bsc,2013,3,4
paderborn,vfr-aalen,2013,4,4
energie-cottbus,kaiserslautern,2013,1,4
hertha-bsc,fc-erzgebirge-aue,2013,2,1
sg-dynamo-dresden,paderborn,2013,3,2
vfr-aalen,ssv-jahn-regensburg,2013,1,1
bochum,1-fc-koln,2013,0,3
sv-sandhausen,fc-ingolstadt-04,2013,1,2
kaiserslautern,fsv-frankfurt,2013,2,1
1860-munchen,1-fc-union-berlin,2013,0,1
msv-duisburg,st-pauli,2013,3,1
eintracht-brau-hellip,energie-cottbus,2013,0,1
1-fc-koln,hertha-bsc,2013,1,1
st-pauli,eintracht-brau-hellip,2013,3,0
paderborn,1860-munchen,2013,1,2
1-fc-union-berlin,msv-duisburg,2013,3,3
fsv-frankfurt,bochum,2013,1,0
energie-cottbus,sv-sandhausen,2013,2,0
fc-erzgebirge-aue,fc-ingolstadt-04,2013,2,0
vfr-aalen,sg-dynamo-dresden,2013,2,3
ssv-jahn-regensburg,kaiserslautern,2013,1,3
hertha-bsc,energie-cottbus,2013,2,2
kaiserslautern,st-pauli,2013,0,1
1860-munchen,vfr-aalen,2013,0,3
eintracht-brau-hellip,fsv-frankfurt,2013,0,2
sg-dynamo-dresden,ssv-jahn-regensburg,2013,1,3
msv-duisburg,paderborn,2013,5,2
bochum,1-fc-union-berlin,2013,3,3
fc-ingolstadt-04,1-fc-koln,2013,1,0
sv-sandhausen,fc-erzgebirge-aue,2013,3,2
sv-sandhausen,vfr-aalen,2014,1,2
fc-ingolstadt-04,fc-erzgebirge-aue,2014,3,4
st-pauli,1860-munchen,2014,5,2
paderborn,kaiserslautern,2014,3,2
sg-dynamo-dresden,1-fc-koln,2014,2,2
greuther-furth,arminia-bielefeld,2014,1,2
fsv-frankfurt,karlsruher-sc,2014,3,2
1-fc-union-berlin,bochum,2014,3,2
fortuna-dusseldorf,energie-cottbus,2014,1,3
vfr-aalen,greuther-furth,2014,1,3
arminia-bielefeld,1-fc-union-berlin,2014,0,5
kaiserslautern,fc-ingolstadt-04,2014,2,3
fc-erzgebirge-aue,sv-sandhausen,2014,1,2
karlsruher-sc,st-pauli,2014,0,3
1860-munchen,fsv-frankfurt,2014,1,2
energie-cottbus,paderborn,2014,0,2
1-fc-koln,fortuna-dusseldorf,2014,2,2
bochum,sg-dynamo-dresden,2014,2,1
fortuna-dusseldorf,1860-munchen,2014,2,0
fsv-frankfurt,bochum,2014,0,3
sg-dynamo-dresden,1-fc-union-berlin,2014,3,3
paderborn,1-fc-koln,2014,1,2
fc-ingolstadt-04,karlsruher-sc,2014,1,1
st-pauli,arminia-bielefeld,2014,6,3
sv-sandhausen,energie-cottbus,2014,2,2
fc-erzgebirge-aue,vfr-aalen,2014,2,3
greuther-furth,kaiserslautern,2014,2,2
karlsruher-sc,greuther-furth,2014,2,4
arminia-bielefeld,paderborn,2014,2,4
bochum,st-pauli,2014,4,5
kaiserslautern,fc-erzgebirge-aue,2014,0,2
1-fc-koln,sv-sandhausen,2014,3,3
1860-munchen,fc-ingolstadt-04,2014,2,2
energie-cottbus,vfr-aalen,2014,1,1
sg-dynamo-dresden,fsv-frankfurt,2014,2,1
1-fc-union-berlin,fortuna-dusseldorf,2014,2,5
sv-sandhausen,karlsruher-sc,2014,1,1
fc-ingolstadt-04,arminia-bielefeld,2014,5,1
fc-erzgebirge-aue,energie-cottbus,2014,1,5
greuther-furth,1-fc-koln,2014,0,0
vfr-aalen,kaiserslautern,2014,2,5
fortuna-dusseldorf,bochum,2014,4,2
fsv-frankfurt,1-fc-union-berlin,2014,1,2
paderborn,1860-munchen,2014,2,0
st-pauli,sg-dynamo-dresden,2014,0,3
fsv-frankfurt,greuther-furth,2014,2,3
1860-munchen,sv-sandhausen,2014,4,2
arminia-bielefeld,fortuna-dusseldorf,2014,4,4
1-fc-union-berlin,st-pauli,2014,1,2
bochum,paderborn,2014,2,4
1-fc-koln,fc-erzgebirge-aue,2014,0,1
sg-dynamo-dresden,fc-ingolstadt-04,2014,3,1
karlsruher-sc,vfr-aalen,2014,2,1
kaiserslautern,energie-cottbus,2014,1,3
vfr-aalen,1860-munchen,2014,2,3
paderborn,karlsruher-sc,2014,4,2
fc-erzgebirge-aue,arminia-bielefeld,2014,4,1
st-pauli,fsv-frankfurt,2014,2,2
sv-sandhausen,kaiserslautern,2014,3,6
fortuna-dusseldorf,sg-dynamo-dresden,2014,1,3
greuther-furth,bochum,2014,1,4
fc-ingolstadt-04,1-fc-union-berlin,2014,2,1
energie-cottbus,1-fc-koln,2014,2,1
1-fc-koln,kaiserslautern,2014,2,1
1-fc-union-berlin,greuther-furth,2014,2,3
karlsruher-sc,energie-cottbus,2014,1,4
1860-munchen,fc-erzgebirge-aue,2014,0,3
bochum,vfr-aalen,2014,3,2
arminia-bielefeld,sv-sandhausen,2014,4,5
fsv-frankfurt,fc-ingolstadt-04,2014,2,5
sg-dynamo-dresden,paderborn,2014,2,3
st-pauli,fortuna-dusseldorf,2014,3,1
energie-cottbus,arminia-bielefeld,2014,2,1
vfr-aalen,1-fc-koln,2014,3,2
fc-erzgebirge-aue,karlsruher-sc,2014,3,2
fortuna-dusseldorf,fsv-frankfurt,2014,4,2
paderborn,1-fc-union-berlin,2014,2,3
kaiserslautern,1860-munchen,2014,0,0
sv-sandhausen,bochum,2014,4,3
fc-ingolstadt-04,st-pauli,2014,2,1
greuther-furth,sg-dynamo-dresden,2014,1,1
1-fc-union-berlin,sv-sandhausen,2014,1,4
st-pauli,paderborn,2014,3,3
arminia-bielefeld,kaiserslautern,2014,3,2
sg-dynamo-dresden,vfr-aalen,2014,3,3
karlsruher-sc,1-fc-koln,2014,3,0
fsv-frankfurt,fc-erzgebirge-aue,2014,0,2
1860-munchen,energie-cottbus,2014,1,4
bochum,fc-ingolstadt-04,2014,2,4
fortuna-dusseldorf,greuther-furth,2014,3,0
energie-cottbus,1-fc-union-berlin,2014,3,3
vfr-aalen,arminia-bielefeld,2014,1,3
paderborn,fsv-frankfurt,2014,0,3
sv-sandhausen,sg-dynamo-dresden,2014,2,3
fc-erzgebirge-aue,bochum,2014,2,3
greuther-furth,st-pauli,2014,2,5
kaiserslautern,karlsruher-sc,2014,3,4
fc-ingolstadt-04,fortuna-dusseldorf,2014,2,3
1-fc-koln,1860-munchen,2014,0,3
greuther-furth,fc-ingolstadt-04,2014,2,1
st-pauli,sv-sandhausen,2014,1,3
arminia-bielefeld,1-fc-koln,2014,2,3
fortuna-dusseldorf,paderborn,2014,4,1
fsv-frankfurt,vfr-aalen,2014,2,3
1-fc-union-berlin,fc-erzgebirge-aue,2014,1,2
sg-dynamo-dresden,energie-cottbus,2014,2,3
karlsruher-sc,1860-munchen,2014,1,0
bochum,kaiserslautern,2014,4,3
energie-cottbus,bochum,2014,2,0
vfr-aalen,fortuna-dusseldorf,2014,2,2
paderborn,fc-ingolstadt-04,2014,3,2
kaiserslautern,st-pauli,2014,1,1
fc-erzgebirge-aue,greuther-furth,2014,2,2
1860-munchen,sg-dynamo-dresden,2014,4,2
sv-sandhausen,fsv-frankfurt,2014,2,4
karlsruher-sc,arminia-bielefeld,2014,3,4
1-fc-koln,1-fc-union-berlin,2014,2,2
greuther-furth,paderborn,2014,2,3
fsv-frankfurt,kaiserslautern,2014,1,3
fc-ingolstadt-04,vfr-aalen,2014,0,0
1-fc-union-berlin,karlsruher-sc,2014,2,1
arminia-bielefeld,1860-munchen,2014,3,2
fortuna-dusseldorf,sv-sandhausen,2014,5,2
bochum,1-fc-koln,2014,1,1
sg-dynamo-dresden,fc-erzgebirge-aue,2014,3,6
st-pauli,energie-cottbus,2014,1,3
energie-cottbus,fsv-frankfurt,2014,1,2
sv-sandhausen,paderborn,2014,1,3
arminia-bielefeld,bochum,2014,3,2
kaiserslautern,1-fc-union-berlin,2014,2,3
1-fc-koln,fc-ingolstadt-04,2014,1,1
vfr-aalen,st-pauli,2014,1,5
fc-erzgebirge-aue,fortuna-dusseldorf,2014,3,6
karlsruher-sc,sg-dynamo-dresden,2014,0,1
1860-munchen,greuther-furth,2014,4,3
fortuna-dusseldorf,karlsruher-sc,2014,4,1
1-fc-union-berlin,vfr-aalen,2014,3,4
st-pauli,1-fc-koln,2014,3,2
fc-ingolstadt-04,sv-sandhausen,2014,3,2
sg-dynamo-dresden,kaiserslautern,2014,4,4
greuther-furth,energie-cottbus,2014,0,4
paderborn,fc-erzgebirge-aue,2014,1,2
bochum,1860-munchen,2014,2,5
fsv-frankfurt,arminia-bielefeld,2014,1,4
fc-erzgebirge-aue,st-pauli,2014,3,0
karlsruher-sc,bochum,2014,2,1
arminia-bielefeld,sg-dynamo-dresden,2014,2,3
1-fc-koln,fsv-frankfurt,2014,0,1
1860-munchen,1-fc-union-berlin,2014,0,6
energie-cottbus,fc-ingolstadt-04,2014,3,4
vfr-aalen,paderborn,2014,3,2
sv-sandhausen,greuther-furth,2014,1,1
kaiserslautern,fortuna-dusseldorf,2014,1,2
kaiserslautern,paderborn,2014,4,4
1-fc-koln,sg-dynamo-dresden,2014,0,0
vfr-aalen,sv-sandhausen,2014,1,1
energie-cottbus,fortuna-dusseldorf,2014,1,0
bochum,1-fc-union-berlin,2014,1,1
fc-erzgebirge-aue,fc-ingolstadt-04,2014,3,2
karlsruher-sc,fsv-frankfurt,2014,4,4
arminia-bielefeld,greuther-furth,2014,1,1
1860-munchen,st-pauli,2014,2,1
st-pauli,karlsruher-sc,2014,4,5
sv-sandhausen,fc-erzgebirge-aue,2014,0,2
sg-dynamo-dresden,bochum,2014,3,3
fsv-frankfurt,1860-munchen,2014,1,2
1-fc-union-berlin,arminia-bielefeld,2014,3,1
fortuna-dusseldorf,1-fc-koln,2014,4,3
greuther-furth,vfr-aalen,2014,2,4
paderborn,energie-cottbus,2014,2,5
fc-ingolstadt-04,kaiserslautern,2014,0,2
energie-cottbus,sv-sandhausen,2014,7,4
vfr-aalen,fc-erzgebirge-aue,2014,0,0
bochum,fsv-frankfurt,2014,3,0
kaiserslautern,greuther-furth,2014,1,3
1-fc-union-berlin,sg-dynamo-dresden,2014,2,2
1-fc-koln,paderborn,2014,3,1
karlsruher-sc,fc-ingolstadt-04,2014,2,3
arminia-bielefeld,st-pauli,2014,0,3
1860-munchen,fortuna-dusseldorf,2014,0,2
fortuna-dusseldorf,1-fc-union-berlin,2014,2,5
greuther-furth,karlsruher-sc,2014,2,2
fc-ingolstadt-04,1860-munchen,2014,2,1
fsv-frankfurt,sg-dynamo-dresden,2014,3,1
st-pauli,bochum,2014,1,1
vfr-aalen,energie-cottbus,2014,1,1
sv-sandhausen,1-fc-koln,2014,1,0
paderborn,arminia-bielefeld,2014,1,6
fc-erzgebirge-aue,kaiserslautern,2014,1,3
1-fc-union-berlin,fsv-frankfurt,2014,1,1
energie-cottbus,fc-erzgebirge-aue,2014,3,4
arminia-bielefeld,fc-ingolstadt-04,2014,1,0
1860-munchen,paderborn,2014,2,4
karlsruher-sc,sv-sandhausen,2014,1,4
kaiserslautern,vfr-aalen,2014,2,1
bochum,fortuna-dusseldorf,2014,0,2
sg-dynamo-dresden,st-pauli,2014,2,3
1-fc-koln,greuther-furth,2014,2,0
fortuna-dusseldorf,arminia-bielefeld,2014,1,1
energie-cottbus,kaiserslautern,2014,1,4
paderborn,bochum,2014,2,2
sv-sandhausen,1860-munchen,2014,0,4
fc-erzgebirge-aue,1-fc-koln,2014,0,2
greuther-furth,fsv-frankfurt,2014,2,3
vfr-aalen,karlsruher-sc,2014,0,3
fc-ingolstadt-04,sg-dynamo-dresden,2014,1,2
st-pauli,1-fc-union-berlin,2014,2,3
kaiserslautern,sv-sandhausen,2014,3,3
1860-munchen,vfr-aalen,2014,2,1
1-fc-koln,energie-cottbus,2014,1,2
1-fc-union-berlin,fc-ingolstadt-04,2014,1,3
arminia-bielefeld,fc-erzgebirge-aue,2014,2,1
fsv-frankfurt,st-pauli,2014,2,3
sg-dynamo-dresden,fortuna-dusseldorf,2014,2,3
karlsruher-sc,paderborn,2014,1,2
bochum,greuther-furth,2014,1,0
vfr-aalen,bochum,2014,2,0
paderborn,sg-dynamo-dresden,2014,1,1
fc-ingolstadt-04,fsv-frankfurt,2014,1,3
energie-cottbus,karlsruher-sc,2014,2,3
fc-erzgebirge-aue,1860-munchen,2014,0,2
fortuna-dusseldorf,st-pauli,2014,3,3
greuther-furth,1-fc-union-berlin,2014,2,4
sv-sandhausen,arminia-bielefeld,2014,1,2
kaiserslautern,1-fc-koln,2014,2,2
1-fc-union-berlin,paderborn,2014,4,3
bochum,sv-sandhausen,2014,1,1
sg-dynamo-dresden,greuther-furth,2014,2,2
fsv-frankfurt,fortuna-dusseldorf,2014,4,2
1-fc-koln,vfr-aalen,2014,1,2
st-pauli,fc-ingolstadt-04,2014,2,0
1860-munchen,kaiserslautern,2014,2,4
karlsruher-sc,fc-erzgebirge-aue,2014,1,2
arminia-bielefeld,energie-cottbus,2014,1,6
greuther-furth,fortuna-dusseldorf,2014,1,2
vfr-aalen,sg-dynamo-dresden,2014,0,2
sv-sandhausen,1-fc-union-berlin,2014,0,2
paderborn,st-pauli,2014,3,4
fc-ingolstadt-04,bochum,2014,1,5
kaiserslautern,arminia-bielefeld,2014,0,0
1-fc-koln,karlsruher-sc,2014,0,0
energie-cottbus,1860-munchen,2014,1,1
fc-erzgebirge-aue,fsv-frankfurt,2014,3,2
fortuna-dusseldorf,fc-ingolstadt-04,2014,2,1
st-pauli,greuther-furth,2014,4,6
sg-dynamo-dresden,sv-sandhausen,2014,1,0
bochum,fc-erzgebirge-aue,2014,2,1
karlsruher-sc,kaiserslautern,2014,2,5
fsv-frankfurt,paderborn,2014,1,0
1860-munchen,1-fc-koln,2014,0,1
arminia-bielefeld,vfr-aalen,2014,1,1
1-fc-union-berlin,energie-cottbus,2014,1,3
energie-cottbus,sg-dynamo-dresden,2014,4,2
vfr-aalen,fsv-frankfurt,2014,1,3
paderborn,fortuna-dusseldorf,2014,1,3
